coinId,dailyVolatility,annualVolatility,demand,Clusters,Distance
yearn-finance,166.01741306630583,2635.4447296783824,325484837.3266714,0,5517516379.902421
compound,15.695674924859754,249.16111506294789,374642059.7753316,0,5520636699.332989
convex-finance,4.641367880225319,73.67943092543531,417780670.6371744,0,5523732026.449221
kusama,14.179749854389836,225.09655060691907,422246749.20155,0,5524071456.720089
decred,6.833311025502133,108.47544962780634,430719886.4196406,0,5524725698.534707
arweave,4.891219827988564,77.64570763563519,442383114.18408895,0,5525647254.286064
synthetix-network-token,2.866436557655052,45.50326968299596,446176608.5654364,0,5525952286.971138
bitcoin-gold,6.466075919509269,102.64577304890896,455163818.1460811,0,5526685134.927452
qtum,2.7533060757664467,43.70737895832708,457136789.8107598,0,5526848032.328317
gnosis-gno,10.989857992154308,174.45858714693557,457949013.6629794,0,5526915141.953583
kadena,2.2449998492164345,35.63826776642514,495299441.54455686,0,5530135327.491564
dash,12.867932530657814,204.2720961820717,515680410.79498905,0,5531997796.906901
pax-gold,42.84361411407373,680.1212892783359,591451343.7648748,0,5539574240.222702
waves,2.6293043597878007,41.738912742578506,651825673.1836351,0,5546345805.176322
kava,1.9164601803180883,30.422862208077987,723930286.0139842,0,5555281292.712885
neo,5.361568027711489,85.11225383207798,760555167.0104865,0,5560172544.907294
pancakeswap,3.49061429028914,55.411784009719725,774372492.9013703,0,5562079435.538951
maker,34.49906386458864,547.6556607014187,831077877.4883733,0,5570256716.337418
huobi-token,2.452275906692444,38.92867317134185,834148371.0930817,0,5570716161.808504
celo,1.8019602753872428,28.60523256655265,867803373.488768,0,5575854898.361952
trust-wallet-token,0.9036732708452913,14.345368446677735,870026907.8728085,0,5576201406.808066
celsius,1.8226885978780976,28.934284484990748,888267367.7231072,0,5579076452.104418
lido-dao,1.6796926924765918,26.66429485983333,915876772.6416644,0,5583538790.051539
helium,3.877974689715383,61.56093971753864,975345707.8862092,0,5593601165.824006
1inch,1.5045514545888106,23.884013901254896,981494389.3435086,0,5594676612.785547
zcash,11.730490452616122,186.2157629666386,1020587300.6733692,0,5601666877.093758
bitcoin-sv,12.063736459563607,191.5058793253687,1027135943.694996,0,5602863691.892722
kucoin-token,4.1793377808478285,66.34493047835952,1030578994.320229,0,5603496028.748161
thorchain,2.400198326355369,38.10196721261852,1043472993.9724052,0,5605881810.784406
nexo,0.9030985735344286,14.336245409695657,1052931303.8390192,0,5607650093.976438
curve-dao-token,1.5933413618464312,25.29350998247181,1080408307.6378193,0,5612874239.362635
mina,1.529366922975965,24.27794724937487,1105570870.6391706,0,5617771984.3547125
okb,3.625370465492273,57.55097197302616,1170168516.0341134,0,5630840886.1642065
aave,9.476294667482868,150.43151424316312,1198629719.9726665,0,5636824185.8345375
elrond-egld,11.391351403981298,180.83209747128592,1264128517.2197251,0,5651114425.223862
axie-infinity,7.451098067014903,118.2825148780531,1287171238.0263383,0,5656313624.26212
quant,7.075142838358555,112.31441064333838,1290050764.4924786,0,5656969600.3893175
enjin-coin,0.7737238506604015,12.282485353720205,1409280160.510781,0,5685344819.478754
loopring,0.6103326325538915,9.688730176589768,1834638061.282244,0,5805426069.058793
stacks,1.1264383282331574,17.88165410253769,1854885188.7369936,0,5811856329.397815
paxos-standard,0.9982644716865732,15.84695720852371,1891825639.362512,0,5823751298.740831
internet-computer,5.312348533148206,84.33091857845352,1897116119.3418424,0,5825471976.919186
filecoin,4.964163805654305,78.8036573828956,1975542032.7040887,0,5851481909.774441
basic-attention-token,0.6315917630454637,10.026208410810792,2041995377.3643155,0,5874250596.742523
theta,1.3765843644251166,21.85259932181261,2222864282.103856,0,5939545468.816138
bitcoin-bep2,201.46795111205995,3198.204574753377,2235698402.81432,0,5944357586.256662
bitcoin-cash,22.39315095919645,355.4802510549679,2254094069.2557297,0,5951303314.953756
eos,2.056451924337503,32.64516224974349,2286443113.88213,0,5963631169.990194
tezos,1.6125967034935724,25.599179054919336,2351448564.108905,0,5988855067.832407
trueusd,1.0013002867039915,15.89514927789862,2460102884.4688826,0,6032344564.548658
monero,11.075647008215606,175.8204455572503,2689152325.738992,0,6129324035.61534
frax,0.9997390989597078,15.870366190771078,2890446609.9301534,0,6220269785.14135
cosmos,3.4992245752207336,55.54846804559815,2901747717.376048,0,6225529211.994546
the-sandbox,1.4429360490081211,22.905899660673583,2942672874.1307797,0,6244709612.440935
flow,3.2346260117448464,51.348096068265335,3284326074.6575074,0,6412789707.535142
fantom,0.9022723177851488,14.323129006304065,3328450124.596713,0,6435499568.251119
decentraland,0.7205488602476797,11.438358550118371,3423657955.527147,0,6485253137.419635
iota,0.8679742260925499,13.778663679927824,3583367583.877324,0,6570966262.299218
klaytn,1.04323571681498,16.560853593075848,3723296926.798395,0,6648309131.29638
chainlink,3.0624224646808837,48.614449505778616,3759556394.353952,0,6668683394.561112
ftx-token,5.793827358952485,91.9741579861826,3783660069.886827,0,6682301772.074174
litecoin,8.054092838123111,127.85476011540092,3958914843.380764,0,6783073029.979745
near-protocol,2.8042687379453626,44.51638613997833,4094740075.537992,0,6863233214.039874
ethereum-classic,4.069611019908191,64.60307214867001,4755100172.429004,0,7276541147.059016
wrapped-bitcoin,195.3874421560004,3101.67948749877,5268128330.341621,0,7621693767.601719
