,coinName,rating,followers
0,bitcoin,3,2
1,ethereum,4,73
2,tether,4,27
3,binance-coin,4,71
4,usd-coin,3,31
5,cardano,5,96
6,binance-usd,5,64
7,xrp,4,28
8,solana,4,36
9,polkadot,3,82
10,dogecoin,5,1
11,avalanche,3,82
12,polygon,1,59
13,multi-collateral-dai,5,99
14,terra-luna,3,71
15,shiba-inu,2,39
16,uniswap,4,35
17,tron,3,90
18,wrapped-bitcoin,2,26
19,ethereum-classic,3,60
20,unus-sed-leo,2,53
21,litecoin,1,10
22,near-protocol,3,26
23,chainlink,3,38
24,ftx-token,2,87
25,crypto-com-coin,3,60
26,stellar,3,47
27,flow,2,21
28,monero,4,97
29,cosmos,3,8
30,bitcoin-cash,4,16
31,bitcoin-bep2,2,43
32,algorand,4,85
33,vechain,4,53
34,filecoin,5,26
35,internet-computer,4,9
36,decentraland,4,90
37,tezos,3,58
38,the-sandbox,1,71
39,axie-infinity,2,10
40,theta,1,3
41,aave,4,75
42,quant,4,19
43,elrond-egld,2,98
44,frax,1,90
45,eos,3,74
46,okb,2,53
47,trueusd,3,52
48,bitcoin-sv,4,91
49,hedera-hashgraph,2,2
50,zcash,2,85
51,helium,1,51
52,kucoin-token,1,80
53,maker,2,21
54,fantom,4,95
55,iota,2,45
56,the-graph,1,66
57,thorchain,1,93
58,chiliz,4,82
59,paxos-standard,2,6
60,lido-dao,5,52
61,klaytn,4,68
62,ecash,5,50
63,celsius,5,20
64,neo,5,50
65,huobi-token,3,65
66,curve-dao-token,5,6
67,pancakeswap,4,0
68,basic-attention-token,2,1
69,stacks,3,14
70,waves,4,39
71,loopring,4,72
72,enjin-coin,3,78
73,zilliqa,1,40
74,dash,5,1
75,pax-gold,5,3
76,mina,2,15
77,kava,2,61
78,nexo,3,85
79,bitcoin-gold,1,97
80,celo,3,82
81,kusama,3,23
82,decred,2,35
83,1inch,2,13
84,arweave,3,19
85,gnosis-gno,1,11
86,nem,4,95
87,oasis-network,3,71
88,convex-finance,5,16
89,trust-wallet-token,2,39
90,compound,5,94
91,synthetix-network-token,4,80
92,gala,3,6
93,holo,2,25
94,qtum,3,92
95,xinfin-network,3,38
96,ankr,3,20
97,yearn-finance,5,44
98,ravencoin,3,23
99,kadena,5,47
